priority_rank,customer_id,churn_probability,risk_level,uplift,persuadability_segment,customer_value_eur,recommended_offer,offer_cost,expected_value_saved,roi,selection_status
213,C11198,0.0171,Low,0.02989,HIGHLY PERSUADABLE,1623.11,Free Premium Trial,2700.0,4365.9,1.62,NOT SELECTED
214,C10679,0.00671,Low,0.01283,LOW RESPONSE,1898.25,Priority Support,1350.0,2191.5,1.62,NOT SELECTED
215,C02446,0.01905,Low,0.01614,LOW RESPONSE,1508.18,Priority Support,1350.0,2190.6,1.62,NOT SELECTED
216,C10570,0.02642,Low,0.01241,HIGHLY PERSUADABLE,1960.41,Priority Support,1350.0,2189.7,1.62,NOT SELECTED
217,C11743,0.01113,Low,0.00835,LOW RESPONSE,1945.23,Loyalty Reward,900.0,1461.6,1.62,NOT SELECTED
218,C02827,0.0141,Low,0.00923,LOW RESPONSE,1756.95,Loyalty Reward,900.0,1459.8,1.62,NOT SELECTED
219,C10705,0.00771,Low,0.00923,LOW RESPONSE,1755.11,Loyalty Reward,900.0,1458.0,1.62,NOT SELECTED
220,C01956,0.02168,Low,0.01596,LOW RESPONSE,1014.42,Loyalty Reward,900.0,1457.1,1.62,NOT SELECTED
221,C08274,0.00752,Low,0.00914,LOW RESPONSE,1768.31,Loyalty Reward,900.0,1454.4,1.62,NOT SELECTED
222,C11723,0.00854,Low,0.01605,LOW RESPONSE,2009.24,Small Discount,1800.0,2902.5,1.61,NOT SELECTED
223,C01772,0.00481,Low,0.01953,LOW RESPONSE,1649.35,Small Discount,1800.0,2898.9,1.61,NOT SELECTED
224,C10517,0.02803,Low,0.01208,LOW RESPONSE,2000.86,Priority Support,1350.0,2175.3,1.61,NOT SELECTED
225,C09293,0.01316,Low,0.00778,LOW RESPONSE,2069.73,Loyalty Reward,900.0,1449.0,1.61,NOT SELECTED
226,C10193,0.00406,Low,0.0081,LOW RESPONSE,1986.88,Loyalty Reward,900.0,1448.1,1.61,NOT SELECTED
227,C10309,0.01705,Low,0.01352,LOW RESPONSE,1773.38,Priority Support,1350.0,2158.2,1.6,NOT SELECTED
228,C08988,0.01141,Low,0.01158,LOW RESPONSE,2068.09,Priority Support,1350.0,2155.5,1.6,NOT SELECTED
229,C03357,0.01035,Low,0.01111,LOW RESPONSE,1441.28,Loyalty Reward,900.0,1440.9,1.6,NOT SELECTED
230,C11010,0.01069,Low,0.0083,LOW RESPONSE,1929.17,Loyalty Reward,900.0,1440.9,1.6,NOT SELECTED
231,C11248,0.00447,Low,0.00801,LOW RESPONSE,1995.81,Loyalty Reward,900.0,1439.1,1.6,NOT SELECTED
232,C09925,0.00539,Low,0.00819,LOW RESPONSE,1946.9,Loyalty Reward,900.0,1435.5,1.6,NOT SELECTED
233,C05919,0.00371,Low,0.00928,LOW RESPONSE,1712.74,Loyalty Reward,900.0,1430.1,1.59,NOT SELECTED
234,C11780,0.03609,Low,0.01848,HIGHLY PERSUADABLE,1706.9,Small Discount,1800.0,2838.6,1.58,NOT SELECTED
235,C01709,0.02951,Low,0.01261,LOW RESPONSE,1879.98,Priority Support,1350.0,2133.9,1.58,NOT SELECTED
236,C05343,0.00553,Low,0.01629,LOW RESPONSE,1451.53,Priority Support,1350.0,2128.5,1.58,NOT SELECTED
237,C02707,0.00996,Low,0.01025,LOW RESPONSE,1546.05,Loyalty Reward,900.0,1426.5,1.58,NOT SELECTED
238,C04210,0.01819,Low,0.01527,LOW RESPONSE,1037.8,Loyalty Reward,900.0,1426.5,1.58,NOT SELECTED
239,C10130,0.00263,Low,0.00855,LOW RESPONSE,1849.0,Loyalty Reward,900.0,1422.9,1.58,NOT SELECTED
240,C02518,0.02477,Low,0.0087,LOW RESPONSE,1815.32,Loyalty Reward,900.0,1421.1,1.58,NOT SELECTED
241,C10884,0.01091,Low,0.00828,LOW RESPONSE,1907.2,Loyalty Reward,900.0,1421.1,1.58,NOT SELECTED
242,C08876,0.02864,Low,0.00806,LOW RESPONSE,1954.1,Loyalty Reward,900.0,1417.5,1.58,NOT SELECTED
243,C01842,0.02328,Low,0.01573,LOW RESPONSE,1496.25,Priority Support,1350.0,2118.6,1.57,NOT SELECTED
244,C02231,0.01988,Low,0.01279,LOW RESPONSE,1840.38,Priority Support,1350.0,2118.6,1.57,NOT SELECTED
245,C11677,0.0258,Low,0.01332,LOW RESPONSE,1766.63,Priority Support,1350.0,2117.7,1.57,NOT SELECTED
246,C01651,0.00242,Low,0.01387,LOW RESPONSE,1693.49,Priority Support,1350.0,2114.1,1.57,NOT SELECTED
247,C10715,0.02786,Low,0.00817,LOW RESPONSE,1926.24,Loyalty Reward,900.0,1416.6,1.57,NOT SELECTED
248,C07244,0.01521,Low,0.00948,LOW RESPONSE,1659.2,Loyalty Reward,900.0,1415.7,1.57,NOT SELECTED
249,C09452,0.01255,Low,0.00768,LOW RESPONSE,2048.53,Loyalty Reward,900.0,1415.7,1.57,NOT SELECTED
250,C00559,0.00849,Low,0.01219,LOW RESPONSE,1289.75,Loyalty Reward,900.0,1414.8,1.57,NOT SELECTED
251,C10611,0.01055,Low,0.00849,LOW RESPONSE,1850.82,Loyalty Reward,900.0,1413.9,1.57,NOT SELECTED
252,C11309,0.04045,Low,0.00802,HIGHLY PERSUADABLE,1956.13,Loyalty Reward,900.0,1412.1,1.57,NOT SELECTED
253,C01659,0.00613,Low,0.00843,LOW RESPONSE,1857.91,Loyalty Reward,900.0,1409.4,1.57,NOT SELECTED
254,C02784,0.01654,Low,0.01864,LOW RESPONSE,1676.02,Small Discount,1800.0,2811.6,1.56,NOT SELECTED
255,C01862,0.04733,Low,0.01411,HIGHLY PERSUADABLE,1661.57,Priority Support,1350.0,2109.6,1.56,NOT SELECTED
256,C09391,0.00542,Low,0.01131,LOW RESPONSE,2072.54,Priority Support,1350.0,2109.6,1.56,NOT SELECTED
257,C11176,0.0062,Low,0.01153,LOW RESPONSE,2033.31,Priority Support,1350.0,2109.6,1.56,NOT SELECTED
258,C02731,0.01609,Low,0.00971,LOW RESPONSE,1611.29,Loyalty Reward,900.0,1408.5,1.56,NOT SELECTED
259,C10356,0.02978,Low,0.0081,LOW RESPONSE,1929.02,Loyalty Reward,900.0,1406.7,1.56,NOT SELECTED
260,C02209,0.01183,Low,0.00951,LOW RESPONSE,1640.44,Loyalty Reward,900.0,1404.0,1.56,NOT SELECTED
261,C02920,0.00858,Low,0.00784,LOW RESPONSE,1984.19,Loyalty Reward,900.0,1400.4,1.56,NOT SELECTED
262,C09637,0.00406,Low,0.00756,LOW RESPONSE,2058.43,Loyalty Reward,900.0,1400.4,1.56,NOT SELECTED
263,C11242,0.04298,Low,0.00876,HIGHLY PERSUADABLE,1774.63,Loyalty Reward,900.0,1399.5,1.56,NOT SELECTED
264,C11889,0.01601,Low,0.01813,LOW RESPONSE,1710.37,Small Discount,1800.0,2790.9,1.55,NOT SELECTED
265,C08057,0.00758,Low,0.01868,HIGHLY PERSUADABLE,1248.28,Priority Support,1350.0,2098.8,1.55,NOT SELECTED
266,C01149,0.00541,Low,0.00877,LOW RESPONSE,1768.34,Loyalty Reward,900.0,1395.9,1.55,NOT SELECTED
267,C01700,0.0044,Low,0.00914,LOW RESPONSE,1695.6,Loyalty Reward,900.0,1395.0,1.55,NOT SELECTED
268,C07815,0.02463,Low,0.0085,LOW RESPONSE,1823.44,Loyalty Reward,900.0,1395.0,1.55,NOT SELECTED
269,C03132,0.04652,Low,0.00986,HIGHLY PERSUADABLE,1570.31,Loyalty Reward,900.0,1393.2,1.55,NOT SELECTED
270,C11515,0.01259,Low,0.01485,LOW RESPONSE,2078.28,Small Discount,1800.0,2777.4,1.54,NOT SELECTED
271,C11817,0.96701,Critical,0.0373,HIGHLY PERSUADABLE,824.8,Small Discount,1800.0,2769.3,1.54,NOT SELECTED
272,C08937,0.00564,Low,0.01118,LOW RESPONSE,2072.13,Priority Support,1350.0,2085.3,1.54,NOT SELECTED
273,C08087,0.01126,Low,0.01406,LOW RESPONSE,1647.14,Priority Support,1350.0,2084.4,1.54,NOT SELECTED
274,C10164,0.0084,Low,0.01306,LOW RESPONSE,1766.24,Priority Support,1350.0,2076.3,1.54,NOT SELECTED
275,C03282,0.04435,Low,0.01193,HIGHLY PERSUADABLE,1931.78,Priority Support,1350.0,2074.5,1.54,NOT SELECTED
276,C02763,0.01444,Low,0.0112,LOW RESPONSE,2055.86,Priority Support,1350.0,2072.7,1.54,NOT SELECTED
277,C02589,0.02158,Low,0.01085,LOW RESPONSE,1418.6,Loyalty Reward,900.0,1385.1,1.54,NOT SELECTED
278,C05254,0.01163,Low,0.00954,LOW RESPONSE,1610.55,Loyalty Reward,900.0,1382.4,1.54,NOT SELECTED
279,C11227,0.01175,Low,0.03678,HIGHLY PERSUADABLE,1663.76,Medium Discount,3600.0,5507.1,1.53,NOT SELECTED
280,C09423,0.00324,Low,0.01463,HIGHLY PERSUADABLE,2085.72,Small Discount,1800.0,2745.9,1.53,NOT SELECTED
281,C03443,0.07421,Low,0.013,HIGHLY PERSUADABLE,1770.77,Priority Support,1350.0,2071.8,1.53,NOT SELECTED
282,C02064,0.03422,Low,0.02144,HIGHLY PERSUADABLE,1070.2,Priority Support,1350.0,2065.5,1.53,NOT SELECTED
283,C01400,0.01047,Low,0.01067,LOW RESPONSE,1432.04,Loyalty Reward,900.0,1375.2,1.53,NOT SELECTED
284,C03554,0.0199,Low,0.01602,LOW RESPONSE,953.57,Loyalty Reward,900.0,1375.2,1.53,NOT SELECTED
285,C10597,0.01773,Low,0.02383,HIGHLY PERSUADABLE,1907.31,Free Premium Trial,2700.0,4090.5,1.52,NOT SELECTED
286,C01846,0.01185,Low,0.0202,LOW RESPONSE,1504.99,Small Discount,1800.0,2736.0,1.52,NOT SELECTED
287,C10800,0.00977,Low,0.01236,LOW RESPONSE,1850.5,Priority Support,1350.0,2058.3,1.52,NOT SELECTED
288,C10756,0.04096,Low,0.01259,HIGHLY PERSUADABLE,1809.09,Priority Support,1350.0,2050.2,1.52,NOT SELECTED
289,C03126,0.01039,Low,0.01203,LOW RESPONSE,1266.28,Loyalty Reward,900.0,1370.7,1.52,NOT SELECTED
290,C11086,0.00747,Low,0.00798,LOW RESPONSE,1904.27,Loyalty Reward,900.0,1368.0,1.52,NOT SELECTED
291,C02187,0.00604,Low,0.00938,LOW RESPONSE,1615.7,Loyalty Reward,900.0,1364.4,1.52,NOT SELECTED
292,C03108,0.02231,Low,0.00964,LOW RESPONSE,1569.91,Loyalty Reward,900.0,1361.7,1.51,NOT SELECTED
293,C01623,0.03014,Low,0.00798,LOW RESPONSE,1893.87,Loyalty Reward,900.0,1359.9,1.51,NOT SELECTED
294,C11561,0.01143,Low,0.00784,LOW RESPONSE,1924.77,Loyalty Reward,900.0,1358.1,1.51,NOT SELECTED
295,C02502,0.02941,Low,0.00789,LOW RESPONSE,1911.22,Loyalty Reward,900.0,1357.2,1.51,NOT SELECTED
296,C11315,0.11378,Low,0.00837,HIGHLY PERSUADABLE,1801.73,Loyalty Reward,900.0,1357.2,1.51,NOT SELECTED
297,C10288,0.0286,Low,0.03115,HIGHLY PERSUADABLE,1930.28,Medium Discount,3600.0,5411.7,1.5,NOT SELECTED
298,C00642,0.0154,Low,0.02195,HIGHLY PERSUADABLE,2054.33,Free Premium Trial,2700.0,4058.1,1.5,NOT SELECTED
299,C11530,0.11853,Low,0.01619,HIGHLY PERSUADABLE,1858.42,Small Discount,1800.0,2708.1,1.5,NOT SELECTED
300,C11894,0.07589,Low,0.01693,HIGHLY PERSUADABLE,1777.33,Small Discount,1800.0,2708.1,1.5,NOT SELECTED
301,C06010,0.92623,Critical,0.07311,HIGHLY PERSUADABLE,411.1,Small Discount,1800.0,2705.4,1.5,NOT SELECTED
302,C10087,0.01459,Low,0.01152,LOW RESPONSE,1958.57,Priority Support,1350.0,2030.4,1.5,NOT SELECTED
303,C11487,0.00729,Low,0.01207,LOW RESPONSE,1866.94,Priority Support,1350.0,2027.7,1.5,NOT SELECTED
304,C10708,0.00439,Low,0.00727,LOW RESPONSE,2068.78,Loyalty Reward,900.0,1353.6,1.5,NOT SELECTED
305,C10826,0.02147,Low,0.00832,LOW RESPONSE,1808.08,Loyalty Reward,900.0,1353.6,1.5,NOT SELECTED
306,C11848,0.0059,Low,0.00911,LOW RESPONSE,1650.78,Loyalty Reward,900.0,1353.6,1.5,NOT SELECTED
307,C05762,0.01739,Low,0.00724,LOW RESPONSE,2072.88,Loyalty Reward,900.0,1350.9,1.5,NOT SELECTED
308,C11669,0.10269,Low,0.0092,HIGHLY PERSUADABLE,1631.14,Loyalty Reward,900.0,1350.9,1.5,NOT SELECTED
309,C03328,0.00937,Low,0.00827,LOW RESPONSE,1812.33,Loyalty Reward,900.0,1349.1,1.5,NOT SELECTED
310,C10059,0.01352,Low,0.00953,LOW RESPONSE,1573.26,Loyalty Reward,900.0,1349.1,1.5,NOT SELECTED
311,C01285,0.00588,Low,0.01243,LOW RESPONSE,1803.66,Priority Support,1350.0,2017.8,1.49,NOT SELECTED
312,C11775,0.01983,Low,0.01309,LOW RESPONSE,1711.07,Priority Support,1350.0,2016.0,1.49,NOT SELECTED
313,C11527,0.02258,Low,0.01031,LOW RESPONSE,1449.33,Loyalty Reward,900.0,1344.6,1.49,NOT SELECTED
314,C08357,0.00196,Low,0.01016,LOW RESPONSE,1468.55,Loyalty Reward,900.0,1342.8,1.49,NOT SELECTED
315,C11794,0.00846,Low,0.00843,LOW RESPONSE,1769.81,Loyalty Reward,900.0,1342.8,1.49,NOT SELECTED
316,C02839,0.00629,Low,0.00923,LOW RESPONSE,1611.43,Loyalty Reward,900.0,1338.3,1.49,NOT SELECTED
317,C11413,0.02164,Low,0.01236,LOW RESPONSE,1801.11,Priority Support,1350.0,2003.4,1.48,NOT SELECTED
318,C02173,0.08985,Low,0.01155,HIGHLY PERSUADABLE,1926.04,Priority Support,1350.0,2002.5,1.48,NOT SELECTED
319,C05935,0.01511,Low,0.01211,HIGHLY PERSUADABLE,1834.15,Priority Support,1350.0,1998.9,1.48,NOT SELECTED
320,C09986,0.00702,Low,0.00723,LOW RESPONSE,2046.36,Loyalty Reward,900.0,1332.0,1.48,NOT SELECTED
321,C11625,0.0077,Low,0.00993,LOW RESPONSE,1487.91,Loyalty Reward,900.0,1329.3,1.48,NOT SELECTED
322,C05318,0.00678,Low,0.0116,LOW RESPONSE,1271.51,Loyalty Reward,900.0,1327.5,1.48,NOT SELECTED
323,C09717,0.00508,Low,0.00745,LOW RESPONSE,1979.44,Loyalty Reward,900.0,1327.5,1.48,NOT SELECTED
324,C05241,0.03082,Low,0.014,LOW RESPONSE,1573.81,Priority Support,1350.0,1982.7,1.47,NOT SELECTED
325,C10280,0.02214,Low,0.01108,LOW RESPONSE,1988.03,Priority Support,1350.0,1982.7,1.47,NOT SELECTED
326,C11499,0.01714,Low,0.0111,LOW RESPONSE,1983.72,Priority Support,1350.0,1981.8,1.47,NOT SELECTED
327,C09510,0.00737,Low,0.00825,LOW RESPONSE,1785.26,Loyalty Reward,900.0,1325.7,1.47,NOT SELECTED
328,C03009,0.00886,Low,0.0078,LOW RESPONSE,1886.96,Loyalty Reward,900.0,1324.8,1.47,NOT SELECTED
329,C02276,0.00471,Low,0.0078,LOW RESPONSE,1884.9,Loyalty Reward,900.0,1323.0,1.47,NOT SELECTED
330,C03211,0.00712,Low,0.00732,LOW RESPONSE,2006.55,Loyalty Reward,900.0,1322.1,1.47,NOT SELECTED
331,C03538,0.00586,Low,0.00863,LOW RESPONSE,1701.07,Loyalty Reward,900.0,1321.2,1.47,NOT SELECTED
332,C05843,0.0137,Low,0.00724,LOW RESPONSE,2024.3,Loyalty Reward,900.0,1319.4,1.47,NOT SELECTED
333,C09198,0.04145,Low,0.01185,HIGHLY PERSUADABLE,1846.66,Priority Support,1350.0,1969.2,1.46,NOT SELECTED
334,C05524,0.04171,Low,0.01611,HIGHLY PERSUADABLE,1354.91,Priority Support,1350.0,1964.7,1.46,NOT SELECTED
335,C09482,0.0167,Low,0.0133,LOW RESPONSE,1097.97,Loyalty Reward,900.0,1314.0,1.46,NOT SELECTED
336,C10003,0.01224,Low,0.00838,LOW RESPONSE,1737.71,Loyalty Reward,900.0,1310.4,1.46,NOT SELECTED
337,C03392,0.01924,Low,0.01178,LOW RESPONSE,1849.37,Priority Support,1350.0,1961.1,1.45,NOT SELECTED
338,C11880,0.01774,Low,0.01397,LOW RESPONSE,1560.01,Priority Support,1350.0,1961.1,1.45,NOT SELECTED
339,C02321,0.00758,Low,0.01035,LOW RESPONSE,1405.21,Loyalty Reward,900.0,1308.6,1.45,NOT SELECTED
340,C09113,0.03866,Low,0.00796,PERSUADABLE,1826.68,Loyalty Reward,900.0,1308.6,1.45,NOT SELECTED
341,C02264,0.00314,Low,0.00754,LOW RESPONSE,1925.62,Loyalty Reward,900.0,1306.8,1.45,NOT SELECTED
342,C10882,0.00991,Low,0.00842,LOW RESPONSE,1724.27,Loyalty Reward,900.0,1306.8,1.45,NOT SELECTED
343,C11210,0.01873,Low,0.00737,LOW RESPONSE,1967.83,Loyalty Reward,900.0,1305.0,1.45,NOT SELECTED
344,C02559,0.01117,Low,0.01142,LOW RESPONSE,1267.4,Loyalty Reward,900.0,1302.3,1.45,NOT SELECTED
345,C03149,0.00317,Low,0.00803,LOW RESPONSE,1801.19,Loyalty Reward,900.0,1301.4,1.45,NOT SELECTED
346,C05824,0.00282,Low,0.0112,LOW RESPONSE,1931.63,Priority Support,1350.0,1946.7,1.44,NOT SELECTED
347,C10250,0.01498,Low,0.01144,LOW RESPONSE,1881.68,Priority Support,1350.0,1937.7,1.44,NOT SELECTED
348,C01796,0.02365,Low,0.00782,LOW RESPONSE,1847.98,Loyalty Reward,900.0,1300.5,1.44,NOT SELECTED
349,C11779,0.00842,Low,0.00842,LOW RESPONSE,1713.58,Loyalty Reward,900.0,1298.7,1.44,NOT SELECTED
350,C02825,0.00646,Low,0.00849,LOW RESPONSE,1694.24,Loyalty Reward,900.0,1294.2,1.44,NOT SELECTED
351,C06018,0.00528,Low,0.01115,LOW RESPONSE,1927.53,Priority Support,1350.0,1934.1,1.43,NOT SELECTED
352,C11083,0.03396,Low,0.01131,LOW RESPONSE,1897.46,Priority Support,1350.0,1931.4,1.43,NOT SELECTED
353,C01912,0.01571,Low,0.01934,LOW RESPONSE,1106.59,Priority Support,1350.0,1926.0,1.43,NOT SELECTED
354,C07239,0.03408,Low,0.0122,HIGHLY PERSUADABLE,1754.05,Priority Support,1350.0,1926.0,1.43,NOT SELECTED
355,C10995,0.0153,Low,0.01116,LOW RESPONSE,1915.34,Priority Support,1350.0,1924.2,1.43,NOT SELECTED
356,C05340,0.01015,Low,0.01169,LOW RESPONSE,1225.63,Loyalty Reward,900.0,1289.7,1.43,NOT SELECTED
357,C10970,0.00982,Low,0.00846,LOW RESPONSE,1694.26,Loyalty Reward,900.0,1289.7,1.43,NOT SELECTED
358,C10345,0.01826,Low,0.00714,LOW RESPONSE,1998.58,Loyalty Reward,900.0,1284.3,1.43,NOT SELECTED
359,C05491,0.01121,Low,0.00931,LOW RESPONSE,1531.7,Loyalty Reward,900.0,1283.4,1.43,NOT SELECTED
360,C09379,0.05641,Low,0.0108,HIGHLY PERSUADABLE,1319.69,Loyalty Reward,900.0,1282.5,1.42,NOT SELECTED
361,C05908,0.00746,Low,0.00811,LOW RESPONSE,1756.42,Loyalty Reward,900.0,1281.6,1.42,NOT SELECTED
362,C05849,0.0045,Low,0.00685,LOW RESPONSE,2073.05,Loyalty Reward,900.0,1278.0,1.42,NOT SELECTED
363,C10852,0.00403,Low,0.00731,LOW RESPONSE,1942.86,Loyalty Reward,900.0,1278.0,1.42,NOT SELECTED
364,C09905,0.01037,Low,0.00705,LOW RESPONSE,2010.34,Loyalty Reward,900.0,1275.3,1.42,NOT SELECTED
365,C10689,0.01252,Low,0.00707,LOW RESPONSE,2004.17,Loyalty Reward,900.0,1275.3,1.42,NOT SELECTED
366,C00412,0.0136,Low,0.01396,LOW RESPONSE,1013.73,Loyalty Reward,900.0,1273.5,1.42,NOT SELECTED
367,C03206,0.00331,Low,0.00775,LOW RESPONSE,1825.53,Loyalty Reward,900.0,1273.5,1.42,NOT SELECTED
368,C08468,0.00502,Low,0.00993,LOW RESPONSE,1424.96,Loyalty Reward,900.0,1273.5,1.42,NOT SELECTED
369,C10890,0.01284,Low,0.01273,LOW RESPONSE,1664.96,Priority Support,1350.0,1907.1,1.41,NOT SELECTED
370,C02131,0.01116,Low,0.01113,LOW RESPONSE,1900.89,Priority Support,1350.0,1904.4,1.41,NOT SELECTED
371,C02660,0.0127,Low,0.01313,LOW RESPONSE,1608.68,Priority Support,1350.0,1900.8,1.41,NOT SELECTED
372,C00039,0.00386,Low,0.01131,LOW RESPONSE,1246.14,Loyalty Reward,900.0,1268.1,1.41,NOT SELECTED
373,C11325,0.0125,Low,0.00716,LOW RESPONSE,1964.72,Loyalty Reward,900.0,1266.3,1.41,NOT SELECTED
374,C10141,0.01233,Low,0.0106,LOW RESPONSE,1987.21,Priority Support,1350.0,1895.4,1.4,NOT SELECTED
375,C09861,0.02997,Low,0.01851,LOW RESPONSE,1135.12,Priority Support,1350.0,1890.9,1.4,NOT SELECTED
376,C11468,0.03082,Low,0.00806,LOW RESPONSE,1740.42,Loyalty Reward,900.0,1262.7,1.4,NOT SELECTED
377,C08793,0.00762,Low,0.01175,LOW RESPONSE,1190.64,Loyalty Reward,900.0,1259.1,1.4,NOT SELECTED
378,C08634,0.00232,Low,0.00803,LOW RESPONSE,1737.34,Loyalty Reward,900.0,1255.5,1.4,NOT SELECTED
379,C08199,0.00637,Low,0.01308,LOW RESPONSE,1597.04,Priority Support,1350.0,1880.1,1.39,NOT SELECTED
380,C11793,0.01536,Low,0.01245,LOW RESPONSE,1674.79,Priority Support,1350.0,1876.5,1.39,NOT SELECTED
381,C02558,0.0119,Low,0.00783,LOW RESPONSE,1777.99,Loyalty Reward,900.0,1252.8,1.39,NOT SELECTED
382,C00702,0.01306,Low,0.01057,LOW RESPONSE,1311.17,Loyalty Reward,900.0,1247.4,1.39,NOT SELECTED
383,C11074,0.0242,Low,0.00763,LOW RESPONSE,1816.42,Loyalty Reward,900.0,1247.4,1.39,NOT SELECTED
384,C02693,0.01908,Low,0.0125,LOW RESPONSE,1658.66,Priority Support,1350.0,1865.7,1.38,NOT SELECTED
385,C10295,0.04527,Low,0.01511,HIGHLY PERSUADABLE,1366.31,Priority Support,1350.0,1857.6,1.38,NOT SELECTED
386,C02396,0.01565,Low,0.01455,LOW RESPONSE,1417.62,Priority Support,1350.0,1856.7,1.38,NOT SELECTED
387,C01488,0.00762,Low,0.00866,LOW RESPONSE,1599.54,Loyalty Reward,900.0,1246.5,1.38,NOT SELECTED
388,C09306,0.01144,Low,0.00683,LOW RESPONSE,2024.82,Loyalty Reward,900.0,1244.7,1.38,NOT SELECTED
389,C08610,0.00342,Low,0.00987,HIGHLY PERSUADABLE,1399.9,Loyalty Reward,900.0,1243.8,1.38,NOT SELECTED
390,C01630,0.00729,Low,0.00869,LOW RESPONSE,1589.36,Loyalty Reward,900.0,1242.9,1.38,NOT SELECTED
391,C11838,0.018,Low,0.00885,LOW RESPONSE,1559.16,Loyalty Reward,900.0,1242.0,1.38,NOT SELECTED
392,C01989,0.00929,Low,0.00935,LOW RESPONSE,1474.0,Loyalty Reward,900.0,1240.2,1.38,NOT SELECTED
393,C08974,0.01571,Low,0.00666,PERSUADABLE,2068.67,Loyalty Reward,900.0,1240.2,1.38,NOT SELECTED
394,C05160,0.01152,Low,0.00752,LOW RESPONSE,1830.69,Loyalty Reward,900.0,1239.3,1.38,NOT SELECTED
395,C11463,0.02584,Low,0.00751,LOW RESPONSE,1833.47,Loyalty Reward,900.0,1239.3,1.38,NOT SELECTED
396,C10721,0.01174,Low,0.00939,LOW RESPONSE,1464.02,Loyalty Reward,900.0,1237.5,1.38,NOT SELECTED
397,C10819,0.03277,Low,0.00704,LOW RESPONSE,1953.51,Loyalty Reward,900.0,1237.5,1.38,NOT SELECTED
398,C11450,0.01452,Low,0.01171,LOW RESPONSE,1757.61,Priority Support,1350.0,1852.2,1.37,NOT SELECTED
399,C03688,0.0086,Low,0.01422,LOW RESPONSE,1446.1,Priority Support,1350.0,1850.4,1.37,NOT SELECTED
400,C09761,0.0355,Low,0.00868,HIGHLY PERSUADABLE,1579.86,Loyalty Reward,900.0,1233.9,1.37,NOT SELECTED
401,C06981,0.01523,Low,0.00726,LOW RESPONSE,1885.81,Loyalty Reward,900.0,1232.1,1.37,NOT SELECTED
402,C08933,0.02509,Low,0.01246,LOW RESPONSE,1642.14,Priority Support,1350.0,1841.4,1.36,NOT SELECTED
403,C09695,0.05529,Low,0.01025,HIGHLY PERSUADABLE,1994.28,Priority Support,1350.0,1839.6,1.36,NOT SELECTED
404,C01098,0.01243,Low,0.01212,LOW RESPONSE,1685.4,Priority Support,1350.0,1838.7,1.36,NOT SELECTED
405,C11403,0.05039,Low,0.01047,HIGHLY PERSUADABLE,1949.92,Priority Support,1350.0,1837.8,1.36,NOT SELECTED
406,C03270,0.00954,Low,0.01265,LOW RESPONSE,1611.5,Priority Support,1350.0,1835.1,1.36,NOT SELECTED
407,C08658,0.01332,Low,0.0124,LOW RESPONSE,1643.79,Priority Support,1350.0,1834.2,1.36,NOT SELECTED
408,C03437,0.01161,Low,0.01269,LOW RESPONSE,1605.05,Priority Support,1350.0,1833.3,1.36,NOT SELECTED
409,C05094,0.00073,Low,0.00712,LOW RESPONSE,1917.06,Loyalty Reward,900.0,1228.5,1.36,NOT SELECTED
410,C00539,0.00585,Low,0.01344,LOW RESPONSE,1014.54,Loyalty Reward,900.0,1227.6,1.36,NOT SELECTED
411,C01528,0.00468,Low,0.00873,LOW RESPONSE,1559.72,Loyalty Reward,900.0,1225.8,1.36,NOT SELECTED
412,C10338,0.01483,Low,0.00707,LOW RESPONSE,1925.79,Loyalty Reward,900.0,1225.8,1.36,NOT SELECTED
413,C02902,0.01081,Low,0.00891,LOW RESPONSE,1522.71,Loyalty Reward,900.0,1221.3,1.36,NOT SELECTED
414,C07783,0.0041,Low,0.00939,LOW RESPONSE,1443.75,Loyalty Reward,900.0,1220.4,1.36,NOT SELECTED
415,C11698,0.01792,Low,0.01043,LOW RESPONSE,1947.91,Priority Support,1350.0,1828.8,1.35,NOT SELECTED
416,C10508,0.00305,Low,0.01009,HIGHLY PERSUADABLE,2007.14,Priority Support,1350.0,1822.5,1.35,NOT SELECTED
417,C03041,0.01156,Low,0.0131,LOW RESPONSE,1542.67,Priority Support,1350.0,1818.9,1.35,NOT SELECTED
418,C02736,0.00742,Low,0.00794,LOW RESPONSE,1703.25,Loyalty Reward,900.0,1216.8,1.35,NOT SELECTED
419,C10782,0.09132,Low,0.00868,HIGHLY PERSUADABLE,1553.58,Loyalty Reward,900.0,1214.1,1.35,NOT SELECTED
420,C11664,0.08546,Low,0.01362,HIGHLY PERSUADABLE,1473.98,Priority Support,1350.0,1807.2,1.34,NOT SELECTED
421,C09832,0.0113,Low,0.01038,LOW RESPONSE,1929.59,Priority Support,1350.0,1802.7,1.34,NOT SELECTED
422,C10748,0.06278,Low,0.01027,HIGHLY PERSUADABLE,1950.39,Priority Support,1350.0,1802.7,1.34,NOT SELECTED
423,C09735,0.05063,Low,0.00665,PERSUADABLE,2023.24,Loyalty Reward,900.0,1210.5,1.34,NOT SELECTED
424,C03278,0.00704,Low,0.00828,LOW RESPONSE,1621.73,Loyalty Reward,900.0,1208.7,1.34,NOT SELECTED
425,C05258,0.01886,Low,0.01117,LOW RESPONSE,1201.75,Loyalty Reward,900.0,1207.8,1.34,NOT SELECTED
426,C08950,0.02148,Low,0.00809,LOW RESPONSE,1657.85,Loyalty Reward,900.0,1206.9,1.34,NOT SELECTED
