customer_id,churn_probability,risk_level,control_churn_probability,treatment_churn_probability,uplift,persuadability_segment,customer_value_eur,customer_value_segment,recommended_offer,recommended_offer_cost,recommended_expected_value,recommended_roi,recommendation_reason
C03047,0.00089,Low,0.00818,0.00745,0.00073,LOW RESPONSE,1585.5,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03048,0.00429,Low,0.009,0.00643,0.00257,LOW RESPONSE,1901.99,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03049,0.01035,Low,0.01133,0.00927,0.00206,LOW RESPONSE,1949.64,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03050,0.01745,Low,0.00817,0.01024,-0.00207,NEGATIVE RESPONSE,1298.12,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03051,0.00861,Low,0.0075,0.00728,0.00022,LOW RESPONSE,1433.76,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03052,0.18572,Low,0.01047,0.046,-0.03553,NEGATIVE RESPONSE,936.27,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03053,0.02944,Low,0.02664,0.0136,0.01305,LOW RESPONSE,1402.5,High Value,Loyalty Reward,10.0,18.3,1.83,Moderate uplift but low offer cost
C03054,0.06777,Low,0.01056,0.11027,-0.09972,NEGATIVE RESPONSE,1384.21,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03055,0.00769,Low,0.01211,0.00974,0.00237,LOW RESPONSE,1700.01,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03056,0.00562,Low,0.01183,0.00836,0.00347,LOW RESPONSE,1729.89,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03057,0.12913,Low,0.01862,0.07458,-0.05596,NEGATIVE RESPONSE,1628.81,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03058,0.00896,Low,0.00817,0.00717,0.001,LOW RESPONSE,1348.44,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03059,0.01169,Low,0.00855,0.01201,-0.00347,NEGATIVE RESPONSE,1305.16,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03060,0.04611,Low,0.01647,0.01841,-0.00194,NEGATIVE RESPONSE,1345.9,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03061,0.01912,Low,0.01237,0.01018,0.00219,LOW RESPONSE,1491.13,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03062,0.01292,Low,0.00871,0.01454,-0.00583,NEGATIVE RESPONSE,1467.67,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03063,0.01268,Low,0.00829,0.01132,-0.00303,NEGATIVE RESPONSE,1597.8,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03064,0.04697,Low,0.00645,0.00715,-0.00069,LOW RESPONSE,814.84,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03065,0.01918,Low,0.01584,0.01218,0.00367,LOW RESPONSE,1534.64,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03066,0.02799,Low,0.02311,0.01018,0.01293,LOW RESPONSE,1538.69,High Value,Loyalty Reward,10.0,19.9,1.99,Moderate uplift but low offer cost
C03067,0.01583,Low,0.00918,0.01314,-0.00396,NEGATIVE RESPONSE,1448.65,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03068,0.00631,Low,0.02126,0.02426,-0.00301,NEGATIVE RESPONSE,2075.59,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03069,0.16426,Low,0.01628,0.07974,-0.06346,NEGATIVE RESPONSE,1766.69,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03070,0.95971,Critical,0.00892,0.45069,-0.44177,NEGATIVE RESPONSE,709.65,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C03071,0.08565,Low,0.00625,0.0392,-0.03295,NEGATIVE RESPONSE,1585.07,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03072,0.00895,Low,0.01067,0.00839,0.00229,LOW RESPONSE,1594.09,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03073,0.00646,Low,0.01326,0.01204,0.00123,LOW RESPONSE,1725.85,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03074,0.00777,Low,0.01253,0.01528,-0.00274,NEGATIVE RESPONSE,1756.66,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03075,0.12727,Low,0.01734,0.06067,-0.04333,NEGATIVE RESPONSE,1327.32,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03076,0.00373,Low,0.01153,0.00804,0.00349,LOW RESPONSE,1849.23,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03077,0.01896,Low,0.00786,0.00934,-0.00148,NEGATIVE RESPONSE,1980.21,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03078,0.00575,Low,0.00556,0.00709,-0.00153,NEGATIVE RESPONSE,1762.35,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03079,0.01643,Low,0.01813,0.0148,0.00332,LOW RESPONSE,2057.25,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03080,0.00844,Low,0.00851,0.00679,0.00171,LOW RESPONSE,1807.57,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03081,0.00435,Low,0.01289,0.00851,0.00439,LOW RESPONSE,1791.72,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03082,0.0179,Low,0.01224,0.00752,0.00472,LOW RESPONSE,932.05,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03083,0.02353,Low,0.011,0.01449,-0.00349,NEGATIVE RESPONSE,1725.65,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03084,0.15125,Low,0.0196,0.20909,-0.18949,NEGATIVE RESPONSE,1724.41,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03085,0.96753,Critical,0.02327,0.28896,-0.26569,NEGATIVE RESPONSE,637.77,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C03086,0.0029,Low,0.0079,0.00789,2e-05,LOW RESPONSE,1312.36,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03087,0.19417,Low,0.00628,0.06507,-0.05879,NEGATIVE RESPONSE,781.45,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03088,0.00072,Low,0.00891,0.00631,0.00261,LOW RESPONSE,1510.07,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03089,0.00392,Low,0.00589,0.01404,-0.00815,NEGATIVE RESPONSE,1541.84,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03090,0.01,Low,0.01178,0.00914,0.00264,LOW RESPONSE,1293.22,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03091,0.11164,Low,0.02777,0.056,-0.02823,NEGATIVE RESPONSE,1679.17,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03092,0.02212,Low,0.01949,0.04728,-0.02779,NEGATIVE RESPONSE,1715.44,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03093,0.00552,Low,0.00631,0.00619,0.00012,LOW RESPONSE,1685.9,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03094,0.00895,Low,0.01837,0.0094,0.00897,LOW RESPONSE,1224.02,Medium Value,Loyalty Reward,10.0,10.98,1.1,Moderate uplift but low offer cost
C03095,0.0028,Low,0.00838,0.00957,-0.0012,NEGATIVE RESPONSE,1840.59,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03096,0.00085,Low,0.02358,0.00658,0.017,LOW RESPONSE,1721.36,Very High Value,Priority Support,15.0,29.26,1.95,Moderate uplift with low offer cost
C03097,0.00304,Low,0.00751,0.008,-0.00049,LOW RESPONSE,1721.45,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03098,0.00689,Low,0.02121,0.00803,0.01318,LOW RESPONSE,1399.67,High Value,Loyalty Reward,10.0,18.45,1.84,Moderate uplift but low offer cost
C03099,0.0064,Low,0.01332,0.00981,0.00351,LOW RESPONSE,1798.8,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03100,0.00683,Low,0.00622,0.00975,-0.00354,NEGATIVE RESPONSE,1577.5,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03101,0.00537,Low,0.00989,0.0091,0.00079,LOW RESPONSE,856.9,Low Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03102,0.00466,Low,0.0051,0.01306,-0.00796,NEGATIVE RESPONSE,1828.48,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03103,0.01002,Low,0.01843,0.00673,0.0117,LOW RESPONSE,1583.56,High Value,Loyalty Reward,10.0,18.53,1.85,Moderate uplift but low offer cost
C03104,0.00761,Low,0.00876,0.01347,-0.00471,NEGATIVE RESPONSE,1731.5,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03105,0.977,Critical,0.01329,0.40329,-0.39,NEGATIVE RESPONSE,633.28,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C03106,0.03362,Low,0.01515,0.00763,0.00752,LOW RESPONSE,1293.07,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03107,0.01008,Low,0.0131,0.00876,0.00434,LOW RESPONSE,1117.92,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03108,0.02231,Low,0.01932,0.00969,0.00964,LOW RESPONSE,1569.91,High Value,Loyalty Reward,10.0,15.13,1.51,Moderate uplift but low offer cost
C03109,0.01865,Low,0.00968,0.00735,0.00233,LOW RESPONSE,1321.39,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03110,0.00695,Low,0.00653,0.00705,-0.00052,LOW RESPONSE,1819.7,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03111,0.00363,Low,0.00661,0.00669,-7e-05,LOW RESPONSE,1155.72,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03112,0.02609,Low,0.01062,0.06115,-0.05053,NEGATIVE RESPONSE,1193.35,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03113,0.01947,Low,0.00818,0.01543,-0.00725,NEGATIVE RESPONSE,1658.11,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03114,0.00322,Low,0.00993,0.01153,-0.0016,NEGATIVE RESPONSE,1901.65,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03115,0.04548,Low,0.0406,0.02959,0.011,HIGHLY PERSUADABLE,1810.75,Very High Value,Loyalty Reward,10.0,19.92,1.99,Moderate uplift but low offer cost
C03116,0.00336,Low,0.0098,0.00676,0.00304,LOW RESPONSE,1995.63,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03117,0.01332,Low,0.00804,0.00661,0.00143,LOW RESPONSE,1630.03,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03118,0.00297,Low,0.0139,0.00726,0.00664,LOW RESPONSE,1796.33,Very High Value,Loyalty Reward,10.0,11.93,1.19,Moderate uplift but low offer cost
C03119,0.01274,Low,0.01336,0.01093,0.00244,LOW RESPONSE,2003.34,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03120,0.00432,Low,0.00837,0.00756,0.00081,LOW RESPONSE,1655.65,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03121,0.97508,Critical,0.03264,0.35831,-0.32567,NEGATIVE RESPONSE,832.88,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C03122,0.00254,Low,0.01255,0.01117,0.00138,LOW RESPONSE,1588.96,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03123,0.00449,Low,0.01225,0.01628,-0.00403,NEGATIVE RESPONSE,1251.35,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03124,0.00403,Low,0.01273,0.01053,0.0022,LOW RESPONSE,1853.45,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03125,0.00325,Low,0.01183,0.01282,-0.00099,LOW RESPONSE,1766.61,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03126,0.01039,Low,0.01929,0.00726,0.01203,LOW RESPONSE,1266.28,Medium Value,Loyalty Reward,10.0,15.23,1.52,Moderate uplift but low offer cost
C03127,0.00953,Low,0.00777,0.00947,-0.0017,NEGATIVE RESPONSE,1517.14,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03128,0.00245,Low,0.00849,0.0054,0.00309,LOW RESPONSE,1607.82,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03129,0.01178,Low,0.0078,0.0109,-0.0031,NEGATIVE RESPONSE,1791.22,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03130,0.01709,Low,0.00787,0.00986,-0.00198,NEGATIVE RESPONSE,872.87,Low Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03131,0.00662,Low,0.00963,0.00889,0.00074,LOW RESPONSE,1912.37,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03132,0.04652,Low,0.01909,0.00923,0.00986,HIGHLY PERSUADABLE,1570.31,High Value,Loyalty Reward,10.0,15.48,1.55,Moderate uplift but low offer cost
C03133,0.04844,Low,0.01049,0.00812,0.00237,PERSUADABLE,1605.83,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03134,0.00588,Low,0.01045,0.00984,0.00061,LOW RESPONSE,1889.99,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03135,0.00694,Low,0.01114,0.01237,-0.00123,NEGATIVE RESPONSE,1365.77,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03136,0.02832,Low,0.00869,0.03947,-0.03078,NEGATIVE RESPONSE,1335.19,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03137,0.04432,Low,0.00772,0.06745,-0.05973,NEGATIVE RESPONSE,1310.49,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03138,0.26582,Low,0.02043,0.09678,-0.07635,NEGATIVE RESPONSE,1296.87,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03139,0.01069,Low,0.01242,0.01201,0.00041,LOW RESPONSE,1093.76,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03140,0.00673,Low,0.01269,0.00699,0.0057,LOW RESPONSE,1711.17,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03141,0.00603,Low,0.01025,0.01151,-0.00126,NEGATIVE RESPONSE,1976.53,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03142,0.00587,Low,0.01308,0.00825,0.00483,LOW RESPONSE,1906.2,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03143,0.00196,Low,0.00537,0.00606,-0.00069,LOW RESPONSE,1316.75,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03144,0.01634,Low,0.01264,0.00749,0.00515,LOW RESPONSE,1336.71,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03145,0.03253,Low,0.00475,0.04042,-0.03567,NEGATIVE RESPONSE,2001.6,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03146,0.01023,Low,0.00688,0.0069,-1e-05,LOW RESPONSE,1431.37,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03147,0.00449,Low,0.00913,0.00664,0.00248,LOW RESPONSE,1670.7,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03148,0.96793,Critical,0.02552,0.11014,-0.08462,NEGATIVE RESPONSE,681.11,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C03149,0.00317,Low,0.01606,0.00804,0.00803,LOW RESPONSE,1801.19,Very High Value,Loyalty Reward,10.0,14.46,1.45,Moderate uplift but low offer cost
C03150,0.0335,Low,0.01542,0.05085,-0.03543,NEGATIVE RESPONSE,1683.64,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03151,0.00354,Low,0.00675,0.00847,-0.00172,NEGATIVE RESPONSE,1912.74,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03152,0.00588,Low,0.01456,0.00996,0.0046,LOW RESPONSE,1807.94,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03153,0.00826,Low,0.01423,0.00902,0.00521,LOW RESPONSE,1680.59,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03154,0.00773,Low,0.00706,0.00897,-0.00191,NEGATIVE RESPONSE,1944.84,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03155,0.01424,Low,0.01657,0.00873,0.00784,LOW RESPONSE,1461.86,High Value,Loyalty Reward,10.0,11.46,1.15,Moderate uplift but low offer cost
C03156,0.01225,Low,0.00776,0.01373,-0.00596,NEGATIVE RESPONSE,1083.0,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03157,0.00425,Low,0.01466,0.02187,-0.00721,NEGATIVE RESPONSE,1861.13,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03158,0.00232,Low,0.00723,0.01006,-0.00283,NEGATIVE RESPONSE,1652.43,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03159,0.32058,Medium,0.02265,0.10367,-0.08101,NEGATIVE RESPONSE,1493.2,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03160,0.02389,Low,0.00889,0.00718,0.00171,LOW RESPONSE,1380.52,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03161,0.02444,Low,0.01159,0.00755,0.00403,LOW RESPONSE,1782.28,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03162,0.01763,Low,0.00837,0.01523,-0.00686,NEGATIVE RESPONSE,1236.7,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03163,0.00908,Low,0.00881,0.01355,-0.00473,NEGATIVE RESPONSE,1572.4,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03164,0.01047,Low,0.00798,0.0097,-0.00172,NEGATIVE RESPONSE,1801.27,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03165,0.00347,Low,0.01602,0.01285,0.00318,LOW RESPONSE,1933.62,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03166,0.00481,Low,0.0066,0.0063,0.0003,LOW RESPONSE,1716.16,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03167,0.01121,Low,0.00815,0.01317,-0.00502,NEGATIVE RESPONSE,1069.59,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03168,0.00723,Low,0.00482,0.0059,-0.00108,NEGATIVE RESPONSE,1321.98,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03169,0.01011,Low,0.01231,0.0251,-0.0128,NEGATIVE RESPONSE,1658.57,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03170,0.00959,Low,0.00565,0.00925,-0.0036,NEGATIVE RESPONSE,1551.88,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03171,0.21372,Low,0.00936,0.11425,-0.10489,NEGATIVE RESPONSE,1565.42,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03172,0.02152,Low,0.01271,0.00888,0.00383,LOW RESPONSE,1620.51,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03173,0.02005,Low,0.01176,0.01108,0.00068,LOW RESPONSE,1217.3,Medium Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03174,0.00696,Low,0.01128,0.01693,-0.00565,NEGATIVE RESPONSE,1836.05,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03175,0.95873,Critical,0.00878,0.15888,-0.1501,NEGATIVE RESPONSE,708.89,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C03176,0.00412,Low,0.00813,0.00886,-0.00073,LOW RESPONSE,1591.08,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03177,0.0055,Low,0.01063,0.01286,-0.00223,NEGATIVE RESPONSE,1911.28,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03178,0.00258,Low,0.01156,0.00911,0.00245,LOW RESPONSE,1886.04,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03179,0.02248,Low,0.05786,0.0267,0.03116,HIGHLY PERSUADABLE,1646.12,High Value,Free Premium Trial,30.0,51.29,1.71,Substantial uplift justifies premium trial
C03180,0.03599,Low,0.01532,0.01629,-0.00098,LOW RESPONSE,1518.5,High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03181,0.97126,Critical,0.03164,0.13353,-0.10189,NEGATIVE RESPONSE,807.57,Low Value,No Action,0.0,0.0,0.0,High churn risk but low estimated intervention response
C03182,0.00486,Low,0.01529,0.01015,0.00514,LOW RESPONSE,2022.12,Very High Value,Loyalty Reward,10.0,10.39,1.04,Moderate uplift but low offer cost
C03183,0.00498,Low,0.00936,0.01462,-0.00526,NEGATIVE RESPONSE,2004.36,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03184,0.01012,Low,0.00877,0.00994,-0.00117,NEGATIVE RESPONSE,1615.47,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03185,0.02054,Low,0.00898,0.01224,-0.00326,NEGATIVE RESPONSE,1561.58,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03186,0.01262,Low,0.01469,0.01216,0.00253,LOW RESPONSE,1750.37,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03187,0.38624,Medium,0.05007,0.08997,-0.0399,NEGATIVE RESPONSE,1291.94,Medium Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03188,0.02755,Low,0.00703,0.011,-0.00397,NEGATIVE RESPONSE,1873.39,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03189,0.01111,Low,0.0141,0.01504,-0.00093,LOW RESPONSE,1850.9,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03190,0.15633,Low,0.00567,0.08391,-0.07824,NEGATIVE RESPONSE,1431.73,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03191,0.00678,Low,0.01884,0.00913,0.00971,LOW RESPONSE,1871.88,Very High Value,Loyalty Reward,10.0,18.18,1.82,Moderate uplift but low offer cost
C03192,0.00907,Low,0.02455,0.01934,0.00521,LOW RESPONSE,2018.39,Very High Value,Loyalty Reward,10.0,10.52,1.05,Moderate uplift but low offer cost
C03193,0.01337,Low,0.01336,0.01552,-0.00217,NEGATIVE RESPONSE,1966.91,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03194,0.01473,Low,0.01529,0.01573,-0.00044,LOW RESPONSE,1786.02,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03195,0.04703,Low,0.02621,0.07219,-0.04598,NEGATIVE RESPONSE,1856.37,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03196,0.10069,Low,0.00733,0.10477,-0.09743,NEGATIVE RESPONSE,1626.19,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03197,0.07363,Low,0.03034,0.01971,0.01063,HIGHLY PERSUADABLE,1816.95,Very High Value,Loyalty Reward,10.0,19.31,1.93,Moderate uplift but low offer cost
C03198,0.01131,Low,0.01473,0.01082,0.00391,LOW RESPONSE,1737.1,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03199,0.02155,Low,0.01578,0.00833,0.00744,LOW RESPONSE,1764.0,Very High Value,Loyalty Reward,10.0,13.12,1.31,Moderate uplift but low offer cost
C03200,0.00745,Low,0.0129,0.01413,-0.00123,NEGATIVE RESPONSE,1607.55,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03201,0.00561,Low,0.01587,0.00988,0.00599,LOW RESPONSE,1693.86,Very High Value,Loyalty Reward,10.0,10.15,1.01,Moderate uplift but low offer cost
C03202,0.0021,Low,0.01007,0.01114,-0.00106,NEGATIVE RESPONSE,1873.8,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03203,0.0033,Low,0.0106,0.00959,0.00101,LOW RESPONSE,1699.91,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03204,0.01108,Low,0.02519,0.01156,0.01363,LOW RESPONSE,1847.35,Very High Value,Priority Support,15.0,25.18,1.68,Moderate uplift with low offer cost
C03205,0.0058,Low,0.01163,0.02154,-0.00991,NEGATIVE RESPONSE,1748.79,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03206,0.00331,Low,0.01433,0.00659,0.00775,LOW RESPONSE,1825.53,Very High Value,Loyalty Reward,10.0,14.15,1.41,Moderate uplift but low offer cost
C03207,0.00277,Low,0.0116,0.00813,0.00347,LOW RESPONSE,1699.3,Very High Value,No Action,0.0,0.0,0.0,No Action because expected benefit does not justify offer cost
C03208,0.00387,Low,0.00928,0.01096,-0.00168,NEGATIVE RESPONSE,1642.09,High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03209,0.01067,Low,0.00904,0.01492,-0.00589,NEGATIVE RESPONSE,1904.84,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
C03210,0.01576,Low,0.01097,0.01938,-0.00841,NEGATIVE RESPONSE,2037.09,Very High Value,No Action,0.0,0.0,0.0,Negative estimated treatment uplift (avoid contact)
